Genus,Species,Family,Order
racek,Bonapartův,rackovití,dlouhokřídlí
drop,velký,dropovití,krátkokřídlí
bekasina,otavní,slukovití,bahňáci
pěnice,bělohrdlá,pěnicovití,pěvci
potáplice,malá,potáplicovití,potáplice
kachnice,bělohlavá,kachnovití,vrubozobí
chaluha,malá,chaluhovití,racci
břehouš,rudý,slukovití,bahňáci
sýkořice,vousatá,Sylvioidea,Passerida
jespák,malý,slukovití,dlouhokřídlí
vodouš,štíhlý,slukovití,dlouhokřídlí
alkoun,úzkozobý,alkovití,dlouhokřídlí
jespák,obecný,slukovití,dlouhokřídlí
alkoun,obecný,alkovití,dlouhokřídlí
orel,jestřábí,jestřábovití,dravci
chocholouš,obecný,skřivanovití,pěvci
konopka,žlutozobá,pěnkavovití,pěvci
potáplice,lední,potáplicovití,potáplice
lyska,černá,chřástalovití,krátkokřídlí
potápka,černokrká,potápkovití,potápky
břehouš,černoocasý,slukovití,dlouhokřídlí
čírka,modrá,kachnovití,vrubozobí
kajka,mořská,kachnovití,vrubozobí
koliha,velká,slukovití,dlouhokřídlí
hýl,křivčí,pěnkavovití,pěvci
pěnice,kaštanová,pěnicovití,pěvci
slučka,malá,slukovití,dlouhokřídlí
pěnkavák,sněžný,vrabcovití,pěvci
skřivan,ouškatý,skřivanovití,pěvci
žluna,šedá,datlovití,šplhavci
vodouš,velký,slukovití,dlouhokřídlí
křivka,velká,pěnkavovití,pěvci
terej,bílý,terejovití,terejové
buřňák,lední,buřňákovití,trubkonosí
krahujec,krátkoprstý,jestřábovití,dravci
vodouš,rudonohý,slukovití,bahňáci
volavka,vlasatá,volavkovití,brodiví a pelikáni
skalník,zpěvný,lejskovití,pěvci
ťuhýk,rudohlavý,ťuhýkovití,pěvci
kavče,žlutozobé,krkavcovití,pěvci
rákosník,ostřicový,Sylvioidea,Passerida
kalandra,zpěvná,skřivanovití,pěvci
běhulík,plavý,ouhorlíkovití,dlouhokřídlí
husa,sněžní,kachnovití,vrubozobí
poštolka,jižní,sokolovití,sokoli
plameňák,růžový,plameňákovití,plameňáci
čírka,úzkozobá,kachnovití,vrubozobí
alka,malá,rackovití,dlouhokřídlí
drop,obojkový,,
zvonohlík,citronový,pěnkavovití,pěvci
stepokur,kirgizský,stepokurovití,stepokurové
sýkora,azurová,sýkorovití,pěvci
sedmihlásek,švitořivý,Sylvioidea,Passerida
sovice,sněžní,puštíkovití,sovy
drozd,černohrdlý,drozdovití,pěvci
strnad,cvrčivý,strnadovití,pěvci
tetřev,hlušec,bažantovití,hrabaví
raroh,velký,sokolovití,sokoli
puštík,bělavý,puštíkovití,sovy
tetřívek,obecný,bažantovití,hrabaví
sovice,krahujová,puštíkovití,sovy
sýček,obecný,puštíkovití,sovy
hrdlička,východní,,
ibis,posvátný,ibisovití,brodiví a pelikáni
polák,dlouhozobý,,
hrdlička,chechtavá,,
orel,východní,jestřábovití,dravci
rosela,pestrá,papouškovití,papoušci
zebřička,pestrá,astrildovití,pěvci
morčák,chocholatý,kachnovití,vrubozobí
alexandr,velký,Psittaculidae,papoušci
husice,australská,kachnovití,vrubozobí
alexandr,malý,Psittaculidae,papoušci
agapornis,škraboškový,Psittaculidae,papoušci
holoubek,diamantový,holubovití,měkkozobí
rosela,Pennantova,papouškovití,papoušci
káně,Harrisova,jestřábovití,dravci
ostralka,bělolící,kachnovití,vrubozobí
pižmovka,americká,,
orebice,rudá,,
husa,tibetská,kachnovití,vrubozobí
majna,hnědá,,
husa,labutí,kachnovití,vrubozobí
emu,hnědý,kasuárovití,kasuárové
lžičák,tečkovaný,,
slípka,africká,,
kachnička,hřívnatá,kachnovití,vrubozobí
andulka,vlnkovaná,alexandrovití,papoušci
mníšek,šedý,papouškovití,papoušci
ostralka,žlutozobá,,
berneška,malá,kachnovití,vrubozobí
kur,bankivský,bažantovití,hrabaví
husice,magellanská,kachnovití,vrubozobí
hvízdák,chilský,,
